width,length,type,region,model,height-min,height-max,stories,shape,tags
11.0,20.0,agriculture,CE,R2_Library/budovy/hospodarske/stodola/stodola_20a.obj,,,,SQ,R2
11.0,20.0,agriculture,CE,R2_Library/budovy/hospodarske/stodola/stodola_20b.obj,,,,SQ,R2
11.0,20.0,agriculture,CE,R2_Library/budovy/hospodarske/stodola/stodola_20c.obj,,,,SQ,R2
11.0,20.0,agriculture,CE,R2_Library/budovy/hospodarske/stodola/stodola_20d.obj,,,,SQ,R2
11.0,25.0,agriculture,CE,R2_Library/budovy/hospodarske/stodola/stodola_25a.obj,,,,SQ,R2
11.0,25.0,agriculture,CE,R2_Library/budovy/hospodarske/stodola/stodola_25b.obj,,,,SQ,R2
11.0,25.0,agriculture,CE,R2_Library/budovy/hospodarske/stodola/stodola_25c.obj,,,,SQ,R2
11.0,25.0,agriculture,CE,R2_Library/budovy/hospodarske/stodola/stodola_25d.obj,,,,SQ,R2
11.0,30.0,agriculture,CE,R2_Library/budovy/hospodarske/stodola/stodola_30a.obj,,,,SQ,R2
11.0,30.0,agriculture,CE,R2_Library/budovy/hospodarske/stodola/stodola_30b.obj,,,,SQ,R2
11.0,30.0,agriculture,CE,R2_Library/budovy/hospodarske/stodola/stodola_30c.obj,,,,SQ,R2
11.0,30.0,agriculture,CE,R2_Library/budovy/hospodarske/stodola/stodola_30d.obj,,,,SQ,R2
11.0,35.0,agriculture,CE,R2_Library/budovy/hospodarske/stodola/stodola_35a.obj,,,,SQ,R2
11.0,35.0,agriculture,CE,R2_Library/budovy/hospodarske/stodola/stodola_35b.obj,,,,SQ,R2
11.0,35.0,agriculture,CE,R2_Library/budovy/hospodarske/stodola/stodola_35c.obj,,,,SQ,R2
11.0,35.0,agriculture,CE,R2_Library/budovy/hospodarske/stodola/stodola_35d.obj,,,,SQ,R2
30.0,11.0,agriculture,,objects/agriculture/Farm_30x11_Grey_1.obj,,,,SQ,W2XP,Grey
