width,length,type,region,model,height-min,height-max,stories,shape,library
16.0,29.0,church,,objects/churches/church.obj,,,,,SQ,W2XP
19,9.4,church,CE,R2_Library/budovy/kostely/kostel-19m-zluty.obj,,,,SQ,R2
19,9.4,church,CE,R2_Library/budovy/kostely/kostel-19m-cerveny.obj,,,,SQ,R2
19,9.4,church,CE,R2_Library/budovy/kostely/kostel-19m-sedy.obj,,,,SQ,R2
26.7,12.3,church,CE,R2_Library/budovy/kostely/kostel-27m-zluty.obj,,,,SQ,R2
26.7,12.3,church,CE,R2_Library/budovy/kostely/kostel-27m-cerveny.obj,,,,SQ,R2
26.7,12.3,church,CE,R2_Library/budovy/kostely/kostel-27m-sedy.obj,,,,SQ,R2
41.3,19.7,church,CE,R2_Library/budovy/kostely/kostel-41m-zluty.obj,,,,SQ,R2
41.3,19.7,church,CE,R2_Library/budovy/kostely/kostel-41m-cerveny.obj,,,,SQ,R2
41.3,19.7,church,CE,R2_Library/budovy/kostely/kostel-41m-sedy.obj,,,,SQ,R2
29.2,14.7,church,CE,R2_Library/budovy/kostely/kostel-30m.obj,,,,SQ,R2
49.8,23.8,church,CE,R2_Library/budovy/kostely/kostel-50m.obj,,,,SQ,R2
50.40,27.71,church,,objects/churches/IE/CHURCH_50.40x27.71_IE.obj,,,,SQ,R2
57.37,30.36,church,,objects/churches/IE/CHURCH_57.37x30.36_IE.obj,,,,SQ,R2
