width,length,type,region,model,height-min,height-max,stories,shape
22.9,16.7,commercial,CE,objects/commercial/EU/COM_22.9x16.7_PL.obj,,,2,SQ
35.8,13.8,commercial,CE,objects/commercial/EU/COM_35.8x13.8_PL.obj,,,2,SQ
28.00,13.00,commercial,CH,objects/commercial/EU/CH/COM_28.00x13.00x11.00_CH.obj,10,20,4,SQ
32.00,15.00,commercial,CH,objects/commercial/EU/CH/COM_32.00x15.00x11.00_CH.obj,10,20,4,SQ
37.80,17.55,commercial,CH,objects/commercial/EU/CH/COM_37.80x17.55x14.85_CH.obj,10,20,3,SQ
41.60,19.50,commercial,CH,objects/commercial/EU/CH/COM_41.60x19.50x14.30_CH.obj,10,20,4,SQ
33.84,22.56,commercial,CH,objects/commercial/EU/CH/COM_33.84x22.56x21.15_CH.obj,15,25,6,SQ
24.00,16.00,commercial,CH,objects/commercial/EU/CH/COM_24.00x16.00x15.00_CH.obj,10,20,4,SQ
23.03,22.95,commercial,CH,objects/commercial/EU/CH/COM_23.03x22.95x24.34_CH.obj,20,30,4,SQ
17.06,17.00,commercial,CH,objects/commercial/EU/CH/COM_17.06x17.00x11.00_CH.obj,5,15,3,SQ
64.43,21.66,commercial,CH,objects/commercial/EU/CH/COM_64.43x21.66x15.16_CH.obj,10,20,4,SQ
22.00,15.00,commercial,CH,objects/commercial/EU/CH/COM_22.00x15.00x12.00_CH.obj,10,15,,SQ
15.00,10.00,commercial,CH,objects/commercial/EU/CH/COM_15.00x10.00x15.00_CH.obj,10,20,,SQ
25.00,15.00,commercial,CH,objects/commercial/EU/CH/COM_25.00x15.00x15.00_CH.obj,10,20,,SQ
30.00,20.00,commercial,CH,objects/commercial/EU/CH/COM_30.00x20.00x15.13_CH.obj,10,20,,SQ
20.00,20.00,commercial,CH,objects/commercial/EU/CH/COM_20.00x20.00x14.00_CH.obj,8,18,,SQ
30.70,11.90,commercial,CH,objects/commercial/EU/CH/COM_30.70x11.90x8.28_CH.obj,5,10,,SQ
58.90,26.18,commercial,CH,objects/commercial/EU/CH/COM_58.90x26.18x14.76_CH.obj,10,20,,SQ
7.52,16.3,commercial,CE;PL;DE,objects/houses/EU/PL/R_7.52x16.3_PL.obj,,,2,SQ
7.75,16.3,commercial,CE;PL;DE,objects/houses/EU/PL/R_7.75x16.3_PL.obj,,,2,SQ
9.62,17.0,commercial,CE;PL;DE,objects/houses/EU/PL/R_9.62x17.0_PL.obj,,,2,SQ
10.1,13.5,commercial,CE;PL;DE,objects/houses/EU/PL/R_10.1x13.5_PL.obj,,,3,SQ
10.7,7.8,commercial,CE;PL;DE,objects/houses/EU/PL/R_10.7x7.8_PL.obj,,,3,SQ
16.8,14.5,commercial,CE;PL;DE,objects/houses/EU/PL/R_16.8x14.5_PL.obj,,,2,SQ
22.6,13.3,commercial,CE;PL;DE,objects/houses/EU/PL/R_22.6x13.3_PL.obj,,,3,SQ
14.5,25.1,commercial,CE;PL;DE,objects/commercial/EU/COM_14.5x25.1_PL.obj,,,4,SQ
23.0,18.8,commercial,CE;PL;DE,objects/commercial/EU/COM_23.0x18.8_PL.obj,,,4,SQ
