width,length,type,region,model,height-min,height-max,stories,shape,library,tags
6.60,7.15,residential,GB;IE;NL,objects/houses/EU/GB/RES_6.60x7.15_UK1.obj,,,2,SQ,W2XP,Black
6.60,7.15,residential,GB;IE;NL,objects/houses/EU/GB/RES_6.60x7.15_UK2.obj,,,2,SQ,W2XP,Brown
7.00,8.00,residential,GB;IE;NL,objects/houses/EU/GB/RES_7.00x8.00_UK1.obj,,,2,SQ,W2XP,Brown
7.00,8.00,residential,GB;IE;NL,objects/houses/EU/GB/RES_7.00x8.00_UK2.obj,,,2,SQ,W2XP,Brown
7.00,8.00,residential,GB;IE;NL,objects/houses/EU/GB/RES_7.00x8.00_UK3.obj,,,2,SQ,W2XP,Brown
7.00,8.00,residential,GB;IE;NL,objects/houses/EU/GB/RES_7.00x8.00_UK4.obj,,,2,SQ,W2XP,Brown
5.00,7.75,residential,GB;IE;NL,objects/houses/EU/GB/RES_5x7.75_UK1.obj,,,2,SQ,W2XP,Black
6.40,6.90,residential,GB;IE;NL,objects/houses/EU/GB/R_6.4x6.9_UK_1.obj,,,2,SQ,W2XP,Black
6.70,6.90,residential,GB;IE;NL,objects/houses/EU/GB/R_6.7x6.9_UK_1.obj,,,2,SQ,W2XP,Black
7.00,7.00,residential,GB;IE;NL,objects/houses/EU/GB/R_7.0x7.0_UK_1.obj,,,2,SQ,W2XP,Black
6.90,7.30,residential,GB;IE;NL,objects/houses/EU/GB/R_6.9x7.3_UK_1.obj,,,2,SQ,W2XP,Black
5.40,8.70,residential,GB;IE;NL,objects/houses/EU/GB/R_5.4x8.7_UK_1.obj,,,2,SQ,W2XP,Black
6.40,9.00,residential,GB;IE;NL,objects/houses/EU/GB/R_6.4x9.0_UK_1.obj,,,2,SQ,W2XP,Black
7.30,11.30,residential,GB;IE;NL,objects/houses/EU/GB/R_7.3x11.3_UK_1.obj,,,1,SQ,W2XP,Black
5.70,8.20,residential,GB;IE;NL,objects/houses/EU/GB/R_5.7x8.2_UK_1.obj,,,1,SQ,W2XP,Black
10.0,10.0,residential,,objects/houses/EU/RES_10x10_BLACK1.obj,,,2,SQ,W2XP,Black
10.0,10.0,residential,,objects/houses/EU/RES_10x10_BLACK2.obj,,,2,SQ,W2XP,Black
10.0,10.0,residential,,objects/houses/EU/RES_10x10_BLACK3.obj,,,2,SQ,W2XP,Black
10.0,10.0,residential,,objects/houses/EU/RES_10x10_BLACK4.obj,,,2,SQ,W2XP,Black
10.0,10.0,residential,,objects/houses/EU/RES_10x10_BLACK5.obj,,,2,SQ,W2XP,Black;Old
10.0,10.0,residential,,objects/houses/EU/RES_10x10_BLACK6.obj,,,2,SQ,W2XP,Black;Old
10.0,10.0,residential,,objects/houses/EU/RES_10x10_BROWN1.obj,,,2,SQ,W2XP,Brown
10.0,10.0,residential,,objects/houses/EU/RES_10x10_BROWN2.obj,,,2,SQ,W2XP,Brown
10.0,10.0,residential,,objects/houses/EU/RES_10x10_BROWN3.obj,,,2,SQ,W2XP,Brown
10.0,10.0,residential,,objects/houses/EU/RES_10x10_BROWN4.obj,,,2,SQ,W2XP,Brown
10.0,10.0,residential,,objects/houses/EU/RES_10x10_BROWN5.obj,,,2,SQ,W2XP,Brown;Old
10.0,10.0,residential,,objects/houses/EU/RES_10x10_BROWN6.obj,,,2,SQ,W2XP,Brown;Old
10.0,10.0,residential,,objects/houses/EU/RES_10x10_RED1.obj,,,2,SQ,W2XP,Red
10.0,10.0,residential,,objects/houses/EU/RES_10x10_RED2.obj,,,2,SQ,W2XP,Red
10.0,10.0,residential,,objects/houses/EU/RES_10x10_RED3.obj,,,2,SQ,W2XP,Red
10.0,10.0,residential,,objects/houses/EU/RES_10x10_RED4.obj,,,2,SQ,W2XP,Red
10.0,10.0,residential,,objects/houses/EU/RES_10x10_RED5.obj,,,2,SQ,W2XP,Red;Old
10.0,10.0,residential,,objects/houses/EU/RES_10x10_RED6.obj,,,2,SQ,W2XP,Red;Old
10.0,10.0,residential,,objects/houses/EU/RES_10x10_GREY1.obj,,,2,SQ,W2XP,Grey
10.0,10.0,residential,,objects/houses/EU/RES_10x10_GREY2.obj,,,2,SQ,W2XP,Grey
10.0,10.0,residential,,objects/houses/EU/RES_10x10_GREY3.obj,,,2,SQ,W2XP,Grey
10.0,10.0,residential,,objects/houses/EU/RES_10x10_GREY4.obj,,,2,SQ,W2XP,Grey
10.0,10.0,residential,,objects/houses/EU/RES_10x10_GREY5.obj,,,2,SQ,W2XP,Grey;Old
10.0,10.0,residential,,objects/houses/EU/RES_10x10_GREY6.obj,,,2,SQ,W2XP,Grey;Old
10.0,12.0,residential,,objects/houses/EU/RES_10X12_BLACK1.obj,,,3,SQ,W2XP,Black
10.0,12.0,residential,,objects/houses/EU/RES_10X12_RED1.obj,,,3,SQ,W2XP,Red
10.0,12.0,residential,,objects/houses/EU/RES_10X12_BROWN1.obj,,,3,SQ,W2XP,Brown
10.0,12.0,residential,,objects/houses/EU/RES_10X12_GREY1.obj,,,3,SQ,W2XP,Grey
10.0,12.0,residential,,objects/houses/EU/RES_10X12_BLACK2.obj,,,3,SQ,W2XP,Black
10.0,12.0,residential,,objects/houses/EU/RES_10X12_RED2.obj,,,3,SQ,W2XP,Red
10.0,12.0,residential,,objects/houses/EU/RES_10X12_BROWN2.obj,,,3,SQ,W2XP,Brown
10.0,12.0,residential,,objects/houses/EU/RES_10X12_GREY2.obj,,,3,SQ,W2XP,Grey
10.0,12.0,residential,GB;IE,objects/houses/EU/GB/R_10.0x12.0_UK_3.obj,,,2,SQ,W2XP
4.71,8.71,residential,GB;IE,objects/houses/EU/GB/R_4.71x8.71_UK_1.obj,,,2,SQ,W2XP
4.71,8.71,residential,GB;IE,objects/houses/EU/GB/R_4.71x8.71_UK_2.obj,,,2,SQ,W2XP
13.4,12.60,residential,PL;DE,objects/houses/EU/R_13.4x12.6_PL.obj,,,2,SQ,W2XP
11.5,10.0,residential,,objects/houses/EU/R_11.5x10.0_PL_1.obj,,,2,SQ,W2XP
11.5,10.0,residential,,objects/houses/EU/R_11.5x10.0_PL_2.obj,,,2,SQ,W2XP
11.5,9.5,residential,,objects/houses/EU/R_11.5x9.5_PL.obj,,,2,SQ,W2XP
11.5,10.0,residential,PL,objects/houses/EU/R_11.5x10.0_PL_1.obj,,,2,SQ,W2XP
11.5,10.0,residential,PL,objects/houses/EU/R_11.5x10.0_PL_2.obj,,,2,SQ,W2XP
11.5,9.5,residential,PL,objects/houses/EU/R_11.5x9.5_PL.obj,,,2,SQ,W2XP
12.0,10.0,residential,,R2_Library/budovy/radove_sekce/radovaVila_12x10a.obj,,,3,SQ,R2
12.0,10.0,residential,,R2_Library/budovy/radove_sekce/radovaVila_12x10b.obj,,,3,SQ,R2
12.0,10.0,residential,,R2_Library/budovy/radove_sekce/radovaVila_12x10c.obj,,,3,SQ,R2
12.0,10.0,residential,,R2_Library/budovy/radove_sekce/radovaVila_12x10d.obj,,,3,SQ,R2
12.0,10.0,residential,,R2_Library/budovy/radove_sekce/radovaVila_12x10e.obj,,,3,SQ,R2
12.0,10.0,residential,,R2_Library/budovy/radove_sekce/radovaVila_12x10f.obj,,,3,SQ,R2
12.0,10.0,residential,,R2_Library/budovy/radove_sekce/radovaVila_12x10g.obj,,,3,SQ,R2
12.0,10.0,residential,,R2_Library/budovy/radove_sekce/radovaVila_12x10h.obj,,,3,SQ,R2
12.0,10.0,residential,,R2_Library/budovy/radove_sekce/radovaVila_12x10i.obj,,,3,SQ,R2
12.0,12.0,residential,,R2_Library/budovy/domky/RD/RD_12x12a.obj,,,1,SQ,R2
12.0,12.0,residential,,R2_Library/budovy/domky/RD/RD_12x12b.obj,,,1,SQ,R2
12.0,12.0,residential,,R2_Library/budovy/domky/RD/RD_12x12c.obj,,,1,SQ,R2
12.0,12.0,residential,,R2_Library/budovy/domky/RD/RD_12x12d.obj,,,1,SQ,R2
12.0,12.0,residential,,R2_Library/budovy/domky/RD/RD_12x12e.obj,,,1,SQ,R2
12.0,12.0,residential,,R2_Library/budovy/domky/RD/RD_12x12f.obj,,,1,SQ,R2
12.0,20.0,residential,,R2_Library/budovy/domky/RD/RD-2x_12x20a.obj,,,1,SQ,R2
12.0,20.0,residential,,R2_Library/budovy/domky/RD/RD-2x_12x20b.obj,,,1,SQ,R2
12.0,20.0,residential,,R2_Library/budovy/domky/RD/RD-2x_12x20c.obj,,,1,SQ,R2
12.0,20.0,residential,,R2_Library/budovy/domky/RD/RD-2x_12x20d.obj,,,1,SQ,R2
12.7,8.0,residential,,objects/houses/EU/R_12.7x8.0_PL_1.obj,,,,SQ,W2XP
12.7,8.0,residential,,objects/houses/EU/R_12.7x8.0_PL_2.obj,,,,SQ,W2XP
19.90,13.00,residential,DE;FR;NL;BE;AT;CH,objects/houses/EU/DE/RES_19.90x13.00_DE_7_1.obj,,,7,SQ,W2XP,Black
14.00,10.90,residential,DE;FR;NL;BE;AT;CH,objects/houses/EU/DE/RES_14.00x10.90_DE_3_1.obj,,,3,SQ,W2XP,Red
16.00,10.90,residential,DE;FR;NL;BE;AT;CH,objects/houses/EU/DE/RES_16.00x10.90_DE_3_1.obj,,,3,SQ,W2XP,Red
22.20,11.30,residential,CE,objects/houses/EU/DE/RES_22.20_11.30_DE_3_1.obj,,,3,SQ,W2XP,Black
18.00,11.20,residential,CE,objects/houses/EU/DE/RES_11.20x18.00_DE_3_1.obj,,,3,SQ,W2XP,Black
19.90,11.30,residential,CE,objects/houses/EU/DE/RES_19.90x11.30_DE_3_1.obj,,,3,SQ,W2XP,Black
13.0,13.0,residential,,R2_Library/budovy/viladomy/vila-Soliter_13x13a.obj,,,3,SQ,R2
13.0,13.0,residential,,R2_Library/budovy/viladomy/vila-Soliter_13x13b.obj,,,3,SQ,R2
13.0,13.0,residential,,R2_Library/budovy/viladomy/vila-Soliter_13x13c.obj,,,3,SQ,R2
13.0,13.0,residential,,R2_Library/budovy/viladomy/vila-Soliter_13x13d.obj,,,3,SQ,R2
13.0,13.0,residential,,R2_Library/budovy/viladomy/vila-Soliter_13x13e.obj,,,3,SQ,R2
13.0,13.0,residential,,R2_Library/budovy/viladomy/vila-Soliter_13x13f.obj,,,3,SQ,R2
13.0,13.0,residential,,R2_Library/budovy/viladomy/vila-Soliter_13x13g.obj,,,3,SQ,R2
13.0,13.0,residential,,R2_Library/budovy/viladomy/vila-Soliter_13x13h.obj,,,3,SQ,R2
13.0,16.0,residential,,R2_Library/budovy/viladomy/vila-Soliter_13x16a.obj,,,3,SQ,R2
13.0,16.0,residential,,R2_Library/budovy/viladomy/vila-Soliter_13x16b.obj,,,3,SQ,R2
13.0,16.0,residential,,R2_Library/budovy/viladomy/vila-Soliter_13x16c.obj,,,3,SQ,R2
13.0,16.0,residential,,R2_Library/budovy/viladomy/vila-Soliter_13x16d.obj,,,3,SQ,R2
