width,length,type,region,model,height-min,height-max,stories
10.0,13.0,residential,CE,objects/uwespeed/germany/RES_10.0x13.0_0.obj_0.obj,,,2
10.0,16.0,residential,CE,objects/uwespeed/germany/RES_10.0x16.0_0.obj_0.obj,,,2
10.0,19.0,residential,CE,objects/uwespeed/germany/RES_10.0x19.0_0.obj_0.obj,,,2
10.0,22.0,residential,CE,objects/uwespeed/germany/RES_10.0x22.0_0.obj_0.obj,,,2
10.0,25.0,residential,CE,objects/uwespeed/germany/RES_10.0x25.0_0.obj_0.obj,,,2
10.0,28.0,residential,CE,objects/uwespeed/germany/RES_10.0x28.0_0.obj_0.obj,,,2
10.0,31.0,residential,CE,objects/uwespeed/germany/RES_10.0x31.0_0.obj_0.obj,,,2
10.0,34.0,residential,CE,objects/uwespeed/germany/RES_10.0x34.0_0.obj_0.obj,,,2
10.0,37.0,residential,CE,objects/uwespeed/germany/RES_10.0x37.0_0.obj_0.obj,,,2
10.0,10.0,residential,CE,objects/uwespeed/germany/RES_10.0x10.0_0.obj_0.obj,,,2
10.0,13.0,residential,CE,objects/uwespeed/germany/RES_10.0x13.0_0.obj_0.obj,,,2
10.0,16.0,residential,CE,objects/uwespeed/germany/RES_10.0x16.0_0.obj_0.obj,,,2
10.0,19.0,residential,CE,objects/uwespeed/germany/RES_10.0x19.0_0.obj_0.obj,,,2
10.0,22.0,residential,CE,objects/uwespeed/germany/RES_10.0x22.0_0.obj_0.obj,,,2
10.0,25.0,residential,CE,objects/uwespeed/germany/RES_10.0x25.0_0.obj_0.obj,,,2
10.0,28.0,residential,CE,objects/uwespeed/germany/RES_10.0x28.0_0.obj_0.obj,,,2
10.0,31.0,residential,CE,objects/uwespeed/germany/RES_10.0x31.0_0.obj_0.obj,,,2
10.0,34.0,residential,CE,objects/uwespeed/germany/RES_10.0x34.0_0.obj_0.obj,,,2
10.0,37.0,residential,CE,objects/uwespeed/germany/RES_10.0x37.0_0.obj_0.obj,,,2
10.0,10.0,residential,CE,objects/uwespeed/germany/RES_10.0x10.0_0.obj_0.obj,,,2
10.0,13.0,residential,CE,objects/uwespeed/germany/RES_10.0x13.0_0.obj_0.obj,,,2
10.0,16.0,residential,CE,objects/uwespeed/germany/RES_10.0x16.0_0.obj_0.obj,,,2
10.0,19.0,residential,CE,objects/uwespeed/germany/RES_10.0x19.0_0.obj_0.obj,,,2
10.0,22.0,residential,CE,objects/uwespeed/germany/RES_10.0x22.0_0.obj_0.obj,,,2
10.0,25.0,residential,CE,objects/uwespeed/germany/RES_10.0x25.0_0.obj_0.obj,,,2
10.0,28.0,residential,CE,objects/uwespeed/germany/RES_10.0x28.0_0.obj_0.obj,,,2
10.0,31.0,residential,CE,objects/uwespeed/germany/RES_10.0x31.0_0.obj_0.obj,,,2
10.0,34.0,residential,CE,objects/uwespeed/germany/RES_10.0x34.0_0.obj_0.obj,,,2
10.0,37.0,residential,CE,objects/uwespeed/germany/RES_10.0x37.0_0.obj_0.obj,,,2
10.0,10.0,residential,CE,objects/uwespeed/germany/RES_10.0x10.0_0.obj_0.obj,,,2
10.0,13.0,residential,CE,objects/uwespeed/germany/RES_10.0x13.0_0.obj_0.obj,,,2
10.0,16.0,residential,CE,objects/uwespeed/germany/RES_10.0x16.0_0.obj_0.obj,,,2
10.0,19.0,residential,CE,objects/uwespeed/germany/RES_10.0x19.0_0.obj_0.obj,,,2
10.0,22.0,residential,CE,objects/uwespeed/germany/RES_10.0x22.0_0.obj_0.obj,,,2
10.0,25.0,residential,CE,objects/uwespeed/germany/RES_10.0x25.0_0.obj_0.obj,,,2
10.0,28.0,residential,CE,objects/uwespeed/germany/RES_10.0x28.0_0.obj_0.obj,,,2
10.0,31.0,residential,CE,objects/uwespeed/germany/RES_10.0x31.0_0.obj_0.obj,,,2
10.0,34.0,residential,CE,objects/uwespeed/germany/RES_10.0x34.0_0.obj_0.obj,,,2
10.0,37.0,residential,CE,objects/uwespeed/germany/RES_10.0x37.0_0.obj_0.obj,,,2
10.0,10.0,residential,CE,objects/uwespeed/germany/RES_10.0x10.0_0.obj_0.obj,,,2
10.0,13.0,residential,CE,objects/uwespeed/germany/RES_10.0x13.0_0.obj_0.obj,,,2
10.0,16.0,residential,CE,objects/uwespeed/germany/RES_10.0x16.0_0.obj_0.obj,,,2
10.0,19.0,residential,CE,objects/uwespeed/germany/RES_10.0x19.0_0.obj_0.obj,,,2
10.0,22.0,residential,CE,objects/uwespeed/germany/RES_10.0x22.0_0.obj_0.obj,,,2
10.0,25.0,residential,CE,objects/uwespeed/germany/RES_10.0x25.0_0.obj_0.obj,,,2
10.0,28.0,residential,CE,objects/uwespeed/germany/RES_10.0x28.0_0.obj_0.obj,,,2
10.0,31.0,residential,CE,objects/uwespeed/germany/RES_10.0x31.0_0.obj_0.obj,,,2
10.0,34.0,residential,CE,objects/uwespeed/germany/RES_10.0x34.0_0.obj_0.obj,,,2
10.0,37.0,residential,CE,objects/uwespeed/germany/RES_10.0x37.0_0.obj_0.obj,,,2
10.0,10.0,residential,CE,objects/uwespeed/germany/RES_10.0x10.0_0.obj_0.obj,,,2
10.0,13.0,residential,CE,objects/uwespeed/germany/RES_10.0x13.0_0.obj_0.obj,,,2
10.0,16.0,residential,CE,objects/uwespeed/germany/RES_10.0x16.0_0.obj_0.obj,,,2
10.0,19.0,residential,CE,objects/uwespeed/germany/RES_10.0x19.0_0.obj_0.obj,,,2
10.0,22.0,residential,CE,objects/uwespeed/germany/RES_10.0x22.0_0.obj_0.obj,,,2
10.0,25.0,residential,CE,objects/uwespeed/germany/RES_10.0x25.0_0.obj_0.obj,,,2
10.0,28.0,residential,CE,objects/uwespeed/germany/RES_10.0x28.0_0.obj_0.obj,,,2
10.0,31.0,residential,CE,objects/uwespeed/germany/RES_10.0x31.0_0.obj_0.obj,,,2
10.0,34.0,residential,CE,objects/uwespeed/germany/RES_10.0x34.0_0.obj_0.obj,,,2
10.0,37.0,residential,CE,objects/uwespeed/germany/RES_10.0x37.0_0.obj_0.obj,,,2
